namevariant,preflabel,coords
searchable,canonical_form,geometry
Wilgenburg fort,|Wilgenburg, fort|,Point(-6.14194 106.839)
Dwarsindeweg fort,|Wilgenburg, fort|,Point(-6.14194 106.839)
Belvidere fort,|Belvidere, fort|,Point(-7.23333 112.75)
Providentie fort,|Providentie, fort|,Point(-7.23333 112.75)
Concordia fort,|Concordia, fort (Timor)|,Point(-10.1628 123.575)
Hollandia fort,|Hollandia, fort (Saparua)|,Point(-3.5838 128.687)
redoute Honimoa,|Hollandia, fort (Saparua)|,Point(-3.5838 128.687)
Hardenberg fort,|Hardenberg, fort|,Point(-3.34978 127.943)
Storm fort,|Storm, fort (Banda Lonthor)|,Point(-4.56672 129.921)
Uring fort,|Storm, fort (Banda Lonthor)|,Point(-4.56672 129.921)
Nassau fort,|Nassau, fort (Moti)|,Point(0.478873 127.419)
Verwachting fortde,|Verwachting, fort de|,Point(-2.05539 125.98)
Claverblad fort,|Verwachting, fort de|,Point(-2.05539 125.98)
Klaverblad fort,|Verwachting, fort de|,Point(-2.05539 125.98)
Alting fort,|Verwachting, fort de|,Point(-2.05539 125.98)
Sanana fort,|Verwachting, fort de|,Point(-2.05539 125.98)
Starfort fort,|Starfort, fort|,Point(5.95 80.5333)
Sterfort fort,|Starfort, fort|,Point(5.95 80.5333)
RedoutevanEck fort,|Starfort, fort|,Point(5.95 80.5333)
Altingburg fort,|Altingburg, fort|,Point(3.34144 101.245)
Lijdzaamheid fort,|Lijdzaamheid, fort (Maputo)|,Point(-25.9667 32.5833)
Amsterdam pakhuisBangkok,|Amsterdam, pakhuis Bangkok|,Point(13.7333 100.5)
Oosteinde fort,|Oosteinde, fort|,Point(-3.81037 130.696)
Mauritius fort,|Mauritius, fort (Makian)|,Point(0.36713 127.42)
Gnofficquia,|Mauritius, fort (Makian)|,Point(0.36713 127.42)
Noseca,|Mauritius, fort (Makian)|,Point(0.36713 127.42)
FredrikHendrik fort,|Fredrik Hendrik, fort (Solor)|,Point(-8.43478 123.066)
Henricus fort,|Fredrik Hendrik, fort (Solor)|,Point(-8.43478 123.066)
Lohayong fort,|Fredrik Hendrik, fort (Solor)|,Point(-8.43478 123.066)
Concordia fort,|Concordia, fort (Banda Lonthor)|,Point(-4.55106 129.949)
Oerangie fort,|Concordia, fort (Banda Lonthor)|,Point(-4.55106 129.949)
Orangie fort,|Concordia, fort (Banda Lonthor)|,Point(-4.55106 129.949)
Wayer fort,|Concordia, fort (Banda Lonthor)|,Point(-4.55106 129.949)
Wajer fort,|Concordia, fort (Banda Lonthor)|,Point(-4.55106 129.949)
Utrecht fort,|Utrecht, fort (Maleisië)|,Point(3.4 101.2)
Hammenhiel fort,|Hammenhiel, fort|,Point(9.71169 79.8479)
Defensie fort,|Defensie, fort (Selayar)|,Point(0 0)
Carolina fort,|Carolina, fort|,Point(-5.55783 120.197)
Halvemaan fort,|Halve maan, fort|,Point(0 0)
Mosselstein fort,|Mosselstein, fort|,Point(29.2333 50.3333)
Nieuw-Orangieën fort,|Nieuw-Orangieën, fort|,Point(0 0)
Amsterdam fort,|Amsterdam, fort (Cormantin)|,Point(5.18284 -1.1147)
Crevecoeur fort,|Crevecoeur, fort|,Point(5.53865 -0.20815)
Ussher fort,|Crevecoeur, fort|,Point(5.53865 -0.20815)
Lijdzaamheid fort,|Lijdzaamheid, fort (Ghana)|,Point(5.28532 -0.72939)
Leidzaamheid fort,|Lijdzaamheid, fort (Ghana)|,Point(5.28532 -0.72939)
Leidsaamheid (fort),|Lijdzaamheid, fort (Ghana)|,Point(5.28532 -0.72939)
Leydsaemheit (fort),|Lijdzaamheid, fort (Ghana)|,Point(5.28532 -0.72939)
De la Patience (fort),|Lijdzaamheid, fort (Ghana)|,Point(5.28532 -0.72939)
St.Antonio fort,|St. Antonio, fort|,Point(4.868 -2.2444)
Coenraadsburg fort,|Coenraadsburg, fort|,Point(5.08479 0)
Jago fort,|Coenraadsburg, fort|,Point(5.08479 0)
St.Jago fort,|Coenraadsburg, fort|,Point(5.08479 0)
St.George fort,|St. George, fort|,Point(5.08268 -1.34808)
St.GeorgedelMina fort,|St. George, fort|,Point(5.08268 -1.34808)
GrootFredericksborg fort,|Groot Fredericksborg, fort|,Point(4.79111 -2.13401)
Hollandia fortPrincestown,|Groot Fredericksborg, fort|,Point(4.79111 -2.13401)
Koningsfort,|Groot Fredericksborg, fort|,Point(4.79111 -2.13401)
Frederiksburg fort,|Groot Fredericksborg, fort|,Point(4.79111 -2.13401)
Oranje fort,|Oranje, fort (Sekondi)|,Point(4.9357 -1.70732)
GoedeHoop fort Ghana),|Goede Hoop, fort (Senya Beraku, Ghana)|,Point(5.38751 -0.489729)
St.Sebastian fort,|St. Sebastian, fort|,Point(5.02911 -1.62106)
St. Sebastiaen,|St. Sebastian, fort|,Point(5.02911 -1.62106)
Batenstein fort,|Batenstein, fort|,Point(4.82163 -1.92119)
Badenstein,|Batenstein, fort|,Point(4.82163 -1.92119)
Badensteyn,|Batenstein, fort|,Point(4.82163 -1.92119)
Nassau fort Ghana),|Nassau, fort (Mouri, Ghana)|,Point(5.13333 -1.2)
Vredenburg fort,|Vredenburg, fort (Komenda)|,Point(5.05833 -1.46667)
Philippina fort,|Philippina, fort|,Point(2.38684 101.969)
St.Angelo fort,|St. Angelo, fort|,Point(11.8542 75.3719)
Blekenburg fort,|Blekenburg, fort|,Point(0 0)
Keeten fort,|Keeten, fort|,Point(-6.16667 106.792)
Ketting fort,|Keeten, fort|,Point(-6.16667 106.792)
Philippina fort,|Philippina, fort (Buitenzorg)|,Point(-6.59901 106.797)
Philippine fort,|Philippina, fort (Buitenzorg)|,Point(-6.59901 106.797)
Phillipina fort,|Philippina, fort (Buitenzorg)|,Point(-6.59901 106.797)
Philipina fort,|Philippina, fort (Buitenzorg)|,Point(-6.59901 106.797)
Zanthoop fort,|Zanthoop, fort|,Point(-33.9255 18.4554)
