namevariant,adamlink,wikidata,preflabel,coords,begin_min,begin_max,end_min,end_max;
searchable,adamlink_url,wikidata_url,canonical_form,geometry,begin_min,begin_max,end_min,end_max;
Adamello,https://adamlink.nl/geo/street/adamello/46,http://www.wikidata.org/entity/Q18931555,Adamello,Point(4.7751974324767 52.350213678596),1993,1993,0,0;
Adelaarsweg,https://adamlink.nl/geo/street/adelaarsweg/47,http://www.wikidata.org/entity/Q18931611,Adelaarsweg,Point(4.9150751740031 52.386510685841),1923,1923,0,0;
Adèle Opzoomerstraat,https://adamlink.nl/geo/street/adele-opzoomerstraat/48,http://www.wikidata.org/entity/Q18931649,Adèle Opzoomerstraat,Point(4.8162204191514 52.377186459654),1953,1953,0,0;
Adingerdorphof,https://adamlink.nl/geo/street/adingerdorphof/50,http://www.wikidata.org/entity/Q18931691,Adingerdorphof,Point(4.7958271495602 52.358041254987),1961,1961,0,0;
Admiraal De Ruijterweg,https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,http://www.wikidata.org/entity/Q2414149,Admiraal De Ruijterweg,Point(4.8462394669952 52.384696622689),1909,1909,0,0;
Admiraal Helfrichstraat,https://adamlink.nl/geo/street/admiraal-helfrichstraat/52,http://www.wikidata.org/entity/Q18931747,Admiraal Helfrichstraat,Point(4.8437863076833 52.369973194693),1963,1963,0,0;
Admiralengracht,https://adamlink.nl/geo/street/admiralengracht/53,http://www.wikidata.org/entity/Q18931780,Admiralengracht,Point(4.8575189261521 52.365969446558),1924,1924,0,0;
Admiraliteitstraat,https://adamlink.nl/geo/street/admiraliteitstraat/54,http://www.wikidata.org/entity/Q18931786,Admiraliteitstraat,Point(4.924194810687 52.368436509636),1989,1989,0,0;
Adolf van Nassaustraat,https://adamlink.nl/geo/street/adolf-van-nassaustraat/55,http://www.wikidata.org/entity/Q18931791,Adolf van Nassaustraat,Point(4.8569814912317 52.382705713431),1933,1933,0,0;
Adolphine Eduardine Kokplantsoen,https://adamlink.nl/geo/street/adolphine-eduardine-kokplantsoen/56,http://www.wikidata.org/entity/Q18931803,Adolphine Eduardine Kokplantsoen,Point(4.8170066659283 52.379994424111),1996,1996,0,0;
Adriaan Ditvoorsthof,https://adamlink.nl/geo/street/adriaan-ditvoorsthof/57,http://www.wikidata.org/entity/Q18931837,Adriaan Ditvoorsthof,Point(4.9981490215265 52.355168570094),2001,2001,0,0;
Adriaan Dorsmanstraat,https://adamlink.nl/geo/street/adriaan-dorsmanstraat/58,http://www.wikidata.org/entity/Q18931838,Adriaan Dorsmanstraat,Point(4.7972037461601 52.382575763295),1955,1955,0,0;
Adriaan Kluitstraat,https://adamlink.nl/geo/street/adriaan-kluitstraat/59,http://www.wikidata.org/entity/Q18931852,Adriaan Kluitstraat,Point(4.8325395133059 52.364034058903),1955,1955,0,0;
Adriaan Loosjesstraat,https://adamlink.nl/geo/street/adriaan-loosjesstraat/60,http://www.wikidata.org/entity/Q18931862,Adriaan Loosjesstraat,Point(4.8942017799827 52.418899391748),1958,1958,0,0;
Adriaan van Bergenstraat,https://adamlink.nl/geo/street/adriaan-van-bergenstraat/61,http://www.wikidata.org/entity/Q18931915,Adriaan van Bergenstraat,Point(4.8637571382133 52.372364030404),1933,1933,0,0;
Adriaan van der Horststraat,https://adamlink.nl/geo/street/adriaan-van-der-horststraat/62,http://www.wikidata.org/entity/Q18931920,Adriaan van der Horststraat,Point(4.824155420594 52.353685498367),1956,1956,0,0;
Adriaan van Oordthof,https://adamlink.nl/geo/street/adriaan-van-oordthof/63,http://www.wikidata.org/entity/Q18931925,Adriaan van Oordthof,Point(4.8274970660861 52.376197721915),1956,1956,0,0;
Adriaan van Swietenhof,https://adamlink.nl/geo/street/adriaan-van-swietenhof/64,http://www.wikidata.org/entity/Q18931946,Adriaan van Swietenhof,Point(4.804814022208 52.374596358476),1955,1955,0,0;
Adrianus van Waertweg,https://adamlink.nl/geo/street/adrianus-van-waertweg/65,http://www.wikidata.org/entity/Q18932058,Adrianus van Waertweg,Point(4.9055106586752 52.420490406844),1990,1990,0,0;
Adrichemstraat,https://adamlink.nl/geo/street/adrichemstraat/66,http://www.wikidata.org/entity/Q18932067,Adrichemstraat,Point(4.877419412394 52.388466692979),1978,1978,0,0;
