namevariant,adamlink,wikidata,preflabel,coords,begin_min,begin_max,end_min,end_max;
searchable,adamlink_url,wikidata_url,canonical_form,geometry,begin_min,begin_max,end_min,end_max;
Korte Leidschedw.straat,https://adamlink.nl/geo/street/korte-leidsedwarsstraat/2475,http://www.wikidata.org/entity/Q19312544,Korte Leidsedwarsstraat,Point(4.8834395169841 52.364135764076),1662,1692,0,0;
K. Leidschedw.str,https://adamlink.nl/geo/street/korte-leidsedwarsstraat/2475,http://www.wikidata.org/entity/Q19312544,Korte Leidsedwarsstraat,Point(4.8834395169841 52.364135764076),1662,1692,0,0;
Krte. Leidschedw.str.,https://adamlink.nl/geo/street/korte-leidsedwarsstraat/2475,http://www.wikidata.org/entity/Q19312544,Korte Leidsedwarsstraat,Point(4.8834395169841 52.364135764076),1662,1692,0,0;
K. Leidschedwarsstr.,https://adamlink.nl/geo/street/korte-leidsedwarsstraat/2475,http://www.wikidata.org/entity/Q19312544,Korte Leidsedwarsstraat,Point(4.8834395169841 52.364135764076),1662,1692,0,0;
Korte Leidschedwarsstr.,https://adamlink.nl/geo/street/korte-leidsedwarsstraat/2475,http://www.wikidata.org/entity/Q19312544,Korte Leidsedwarsstraat,Point(4.8834395169841 52.364135764076),1662,1692,0,0;
K. leidsche dw.str.,https://adamlink.nl/geo/street/korte-leidsedwarsstraat/2475,http://www.wikidata.org/entity/Q19312544,Korte Leidsedwarsstraat,Point(4.8834395169841 52.364135764076),1662,1692,0,0;
Leidsedwarsstraat Korte,https://adamlink.nl/geo/street/korte-leidsedwarsstraat/2475,http://www.wikidata.org/entity/Q19312544,Korte Leidsedwarsstraat,Point(4.8834395169841 52.364135764076),1662,1692,0,0;
Krt. Leidschedwstr.,https://adamlink.nl/geo/street/korte-leidsedwarsstraat/2475,http://www.wikidata.org/entity/Q19312544,Korte Leidsedwarsstraat,Point(4.8834395169841 52.364135764076),1662,1692,0,0;
Marnixstraat Korte,https://adamlink.nl/geo/street/korte-marnixstraat/2479,http://www.wikidata.org/entity/Q19312563,Korte Marnixstraat,Point(4.8831277070452 52.384581489953),1894,1894,0,0;
Kr. Meerhuizenstr.,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Krt Weerhuizenstr,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
K Meerhuizenstraat,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Krt. Meerhuizenstr.,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
K.Meerhuizenstraat,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Kr.Meerhuizenstr.,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Kt. Meerhuizenstr.,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Krt. Meerhuizenstraat,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Krte.Meerhuizenstraat,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Krt Meerhuizenstraat,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
K. Meerhuizenstr.,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Krt.Meerhuizenstr.,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Kt Meerhuizenstraat,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Krt Meerhuizenstr,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Krt.Meerhuizenstraat,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Krte Meerhuizenstraat,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Meerhuizenstraat Korte,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
K. Merrhuizenstr.,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Krt Meerhuizenstr.,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Korte Meerhuizenstr.,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Korte Meerhuizenstr,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
K. Meerhuizenstraat,https://adamlink.nl/geo/street/korte-meerhuizenstraat/2480,http://www.wikidata.org/entity/Q19312567,Korte Meerhuizenstraat,Point(4.9067791605619 52.348633896522),1922,1922,0,0;
Prinsengracht Korte,https://adamlink.nl/geo/street/korte-prinsengracht/2484,http://www.wikidata.org/entity/Q2090428,Korte Prinsengracht,Point(4.8895004132996 52.381381852761),1625,1625,0,0;
K. Prinsengrt.,https://adamlink.nl/geo/street/korte-prinsengracht/2484,http://www.wikidata.org/entity/Q2090428,Korte Prinsengracht,Point(4.8895004132996 52.381381852761),1625,1625,0,0;
Krt. Reguliersdw.str.,https://adamlink.nl/geo/street/korte-reguliersdwarsstraat/2485,http://www.wikidata.org/entity/Q19312637,Korte Reguliersdwarsstraat,,1692,1692,0,0;
K. Reguliersdw.str.,https://adamlink.nl/geo/street/korte-reguliersdwarsstraat/2485,http://www.wikidata.org/entity/Q19312637,Korte Reguliersdwarsstraat,,1692,1692,0,0;
Schimmelstraat Korte,https://adamlink.nl/geo/street/korte-schimmelstraat/2487,http://www.wikidata.org/entity/Q19312655,Korte Schimmelstraat,Point(4.8649333836769 52.368495512961),1922,1922,0,0;
Tolstraat Korte,https://adamlink.nl/geo/street/korte-tolstraat/2490,http://www.wikidata.org/entity/Q19312711,Korte Tolstraat,Point(4.8998490373492 52.352670308021),1886,1886,0,0;
Krt. v. Eeghenstr.,https://adamlink.nl/geo/street/korte-van-eeghenstraat/2491,http://www.wikidata.org/entity/Q19312720,Korte van Eeghenstraat,Point(4.8752395043502 52.35843831129),1927,1927,0,0;
Korte van Eeghenstr.,https://adamlink.nl/geo/street/korte-van-eeghenstraat/2491,http://www.wikidata.org/entity/Q19312720,Korte van Eeghenstraat,Point(4.8752395043502 52.35843831129),1927,1927,0,0;
Wagenstraat Korte,https://adamlink.nl/geo/street/korte-wagenstraat/2493,http://www.wikidata.org/entity/Q19312762,Korte Wagenstraat,Point(4.8829330809987 52.384149243109),1909,1909,0,0;
Westerdokstraat Korte,https://adamlink.nl/geo/street/korte-westerdokstraat/2495,,Korte Westerdokstraat,,0,0,0,0;
Keuterstraat,https://adamlink.nl/geo/street/kouterstraat/2511,http://www.wikidata.org/entity/Q19313343,Kouterstraat,Point(4.949505358109 52.340455173881),1924,1924,0,0;
Kouterstr.,https://adamlink.nl/geo/street/kouterstraat/2511,http://www.wikidata.org/entity/Q19313343,Kouterstraat,Point(4.949505358109 52.340455173881),1924,1924,0,0;
Kraaypanstraat,https://adamlink.nl/geo/street/kraaipanstraat/2519,http://www.wikidata.org/entity/Q19313525,Kraaipanstraat,Point(4.9184529045849 52.351840566531),1920,1920,0,0;
Kraapanstr.,https://adamlink.nl/geo/street/kraaipanstraat/2519,http://www.wikidata.org/entity/Q19313525,Kraaipanstraat,Point(4.9184529045849 52.351840566531),1920,1920,0,0;
Kraaipenstr,https://adamlink.nl/geo/street/kraaipanstraat/2519,http://www.wikidata.org/entity/Q19313525,Kraaipanstraat,Point(4.9184529045849 52.351840566531),1920,1920,0,0;
Kraaipanstr,https://adamlink.nl/geo/street/kraaipanstraat/2519,http://www.wikidata.org/entity/Q19313525,Kraaipanstraat,Point(4.9184529045849 52.351840566531),1920,1920,0,0;
Kraaipanstraat V,https://adamlink.nl/geo/street/kraaipanstraat/2519,http://www.wikidata.org/entity/Q19313525,Kraaipanstraat,Point(4.9184529045849 52.351840566531),1920,1920,0,0;
Kraaipanstr.,https://adamlink.nl/geo/street/kraaipanstraat/2519,http://www.wikidata.org/entity/Q19313525,Kraaipanstraat,Point(4.9184529045849 52.351840566531),1920,1920,0,0;
Kramerstr.,https://adamlink.nl/geo/street/krammerstraat/2526,http://www.wikidata.org/entity/Q19313763,Krammerstraat,Point(4.8875327944827 52.34597654012),1927,1927,0,0;
Krammerstr,https://adamlink.nl/geo/street/krammerstraat/2526,http://www.wikidata.org/entity/Q19313763,Krammerstraat,Point(4.8875327944827 52.34597654012),1927,1927,0,0;
Krammerstr.,https://adamlink.nl/geo/street/krammerstraat/2526,http://www.wikidata.org/entity/Q19313763,Krammerstraat,Point(4.8875327944827 52.34597654012),1927,1927,0,0;
Kribbestr,https://adamlink.nl/geo/street/kribbestraat/2534,http://www.wikidata.org/entity/Q19314131,Kribbestraat,Point(4.9037357668322 52.340654535372),1933,1933,0,0;
Kribbest,https://adamlink.nl/geo/street/kribbestraat/2534,http://www.wikidata.org/entity/Q19314131,Kribbestraat,Point(4.9037357668322 52.340654535372),1933,1933,0,0;
Kribbestr.,https://adamlink.nl/geo/street/kribbestraat/2534,http://www.wikidata.org/entity/Q19314131,Kribbestraat,Point(4.9037357668322 52.340654535372),1933,1933,0,0;
Kribbesraat,https://adamlink.nl/geo/street/kribbestraat/2534,http://www.wikidata.org/entity/Q19314131,Kribbestraat,Point(4.9037357668322 52.340654535372),1933,1933,0,0;
Kromboomstraat,https://adamlink.nl/geo/street/krom-boomssloot/2539,http://www.wikidata.org/entity/Q19314346,Krom Boomssloot,Point(4.9016732809595 52.370916780854),1585,1625,0,0;
Kr Boomsloot,https://adamlink.nl/geo/street/krom-boomssloot/2539,http://www.wikidata.org/entity/Q19314346,Krom Boomssloot,Point(4.9016732809595 52.370916780854),1585,1625,0,0;
Kromboomstloot,https://adamlink.nl/geo/street/krom-boomssloot/2539,http://www.wikidata.org/entity/Q19314346,Krom Boomssloot,Point(4.9016732809595 52.370916780854),1585,1625,0,0;
Kr. Boomsloot,https://adamlink.nl/geo/street/krom-boomssloot/2539,http://www.wikidata.org/entity/Q19314346,Krom Boomssloot,Point(4.9016732809595 52.370916780854),1585,1625,0,0;
Kromboomssloot,https://adamlink.nl/geo/street/krom-boomssloot/2539,http://www.wikidata.org/entity/Q19314346,Krom Boomssloot,Point(4.9016732809595 52.370916780854),1585,1625,0,0;
Kr. Distel,https://adamlink.nl/geo/street/kromme-distelstraat/2542,http://www.wikidata.org/entity/Q19314397,Kromme Distelstraat,Point(4.9093095840248 52.391448952715),1918,1918,0,0;
Distelstraat Kromme,https://adamlink.nl/geo/street/kromme-distelstraat/2542,http://www.wikidata.org/entity/Q19314397,Kromme Distelstraat,Point(4.9093095840248 52.391448952715),1918,1918,0,0;
Palmstraat Kromme,https://adamlink.nl/geo/street/kromme-palmstraat/2544,http://www.wikidata.org/entity/Q19314456,Kromme Palmstraat,Point(4.8823577028254 52.382483322006),1625,1692,0,0;
Kr Waalstraat,https://adamlink.nl/geo/street/kromme-waal/2545,http://www.wikidata.org/entity/Q2629120,Kromme Waal,Point(4.9025674038886 52.374417127891),1585,1585,0,0;
Waal Kromme,https://adamlink.nl/geo/street/kromme-waal/2545,http://www.wikidata.org/entity/Q2629120,Kromme Waal,Point(4.9025674038886 52.374417127891),1585,1585,0,0;
kr.waal,https://adamlink.nl/geo/street/kromme-waal/2545,http://www.wikidata.org/entity/Q2629120,Kromme Waal,Point(4.9025674038886 52.374417127891),1585,1585,0,0;
Paul Krugerplein,https://adamlink.nl/geo/street/krugerplein/2555,,Krugerplein,Point(4.919235926489 52.353745809904),1914,1914,0,0;
Krugerpl.,https://adamlink.nl/geo/street/krugerplein/2555,,Krugerplein,Point(4.919235926489 52.353745809904),1914,1914,0,0;
Krugersplein,https://adamlink.nl/geo/street/krugerplein/2555,,Krugerplein,Point(4.919235926489 52.353745809904),1914,1914,0,0;
Krugerplain,https://adamlink.nl/geo/street/krugerplein/2555,,Krugerplein,Point(4.919235926489 52.353745809904),1914,1914,0,0;
Krugerstr.,https://adamlink.nl/geo/street/krugerstraat/2556,http://www.wikidata.org/entity/Q19314802,Krugerstraat,Point(4.9177862654733 52.352422127269),1915,1915,0,0;
Krugertstraat,https://adamlink.nl/geo/street/krugerstraat/2556,http://www.wikidata.org/entity/Q19314802,Krugerstraat,Point(4.9177862654733 52.352422127269),1915,1915,0,0;
Krugerstr,https://adamlink.nl/geo/street/krugerstraat/2556,http://www.wikidata.org/entity/Q19314802,Krugerstraat,Point(4.9177862654733 52.352422127269),1915,1915,0,0;
Kuinderstr.,https://adamlink.nl/geo/street/kuinderstraat/2565,http://www.wikidata.org/entity/Q19315669,Kuinderstraat,Point(4.9055180449158 52.342737974825),1933,1933,0,0;
Kuiderstr,https://adamlink.nl/geo/street/kuinderstraat/2565,http://www.wikidata.org/entity/Q19315669,Kuinderstraat,Point(4.9055180449158 52.342737974825),1933,1933,0,0;
kuibderstr.,https://adamlink.nl/geo/street/kuinderstraat/2565,http://www.wikidata.org/entity/Q19315669,Kuinderstraat,Point(4.9055180449158 52.342737974825),1933,1933,0,0;
Kuindertsraat,https://adamlink.nl/geo/street/kuinderstraat/2565,http://www.wikidata.org/entity/Q19315669,Kuinderstraat,Point(4.9055180449158 52.342737974825),1933,1933,0,0;
Kuinderstr,https://adamlink.nl/geo/street/kuinderstraat/2565,http://www.wikidata.org/entity/Q19315669,Kuinderstraat,Point(4.9055180449158 52.342737974825),1933,1933,0,0;
Kuinaerstraat,https://adamlink.nl/geo/street/kuinderstraat/2565,http://www.wikidata.org/entity/Q19315669,Kuinderstraat,Point(4.9055180449158 52.342737974825),1933,1933,0,0;
Kuiperstraat,https://adamlink.nl/geo/street/kuipersstraat/2568,http://www.wikidata.org/entity/Q19315774,Kuipersstraat,Point(4.9023908578767 52.353447831571),1896,1896,0,0;
Kuyperstraat,https://adamlink.nl/geo/street/kuipersstraat/2568,http://www.wikidata.org/entity/Q19315774,Kuipersstraat,Point(4.9023908578767 52.353447831571),1896,1896,0,0;
Kuipersstr.,https://adamlink.nl/geo/street/kuipersstraat/2568,http://www.wikidata.org/entity/Q19315774,Kuipersstraat,Point(4.9023908578767 52.353447831571),1896,1896,0,0;
Kuiperstr.,https://adamlink.nl/geo/street/kuipersstraat/2568,http://www.wikidata.org/entity/Q19315774,Kuipersstraat,Point(4.9023908578767 52.353447831571),1896,1896,0,0;
Kuiperstr,https://adamlink.nl/geo/street/kuipersstraat/2568,http://www.wikidata.org/entity/Q19315774,Kuipersstraat,Point(4.9023908578767 52.353447831571),1896,1896,0,0;
Kwakerspl,https://adamlink.nl/geo/street/kwakersplein/2573,,Kwakersplein,Point(4.8698704311988 52.368674869141),1903,1903,0,0;
Kwakerstr,https://adamlink.nl/geo/street/kwakersstraat/2574,http://www.wikidata.org/entity/Q19316032,Kwakersstraat,Point(4.8682855332072 52.368268168013),1903,1903,0,0;
L. Kadijk,https://adamlink.nl/geo/street/laagte-kadijk/2582,http://www.wikidata.org/entity/Q19316588,Laagte Kadijk,Point(4.9125311595537 52.369772543024),1983,1983,0,0;
Kadijk Laagte,https://adamlink.nl/geo/street/laagte-kadijk/2582,http://www.wikidata.org/entity/Q19316588,Laagte Kadijk,Point(4.9125311595537 52.369772543024),1983,1983,0,0;
L Nekstr.,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Lng.Nekstr.,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laingsnekstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laings' Nekstr,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laings Nekstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laings Nekstr.,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
laings nekstr,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laing's Nekstr.,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laing's Nekstr,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laing's N,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
L Nekstr,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
l.nekstr.,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laing's  Nekstr.,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laing s Nekstr,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laing Nekstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laiags Nekstr,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
L Nekstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
L. Nekstr.,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
L. Nekstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
l.nekstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laing's  Nekstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Nekstraat Laing's,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laign's Neckstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laing 's Nekstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Lainge Nekstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laingneckstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laing Nekstr.,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laing's Neckstr.,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laing's Neckstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Lange Nekstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laings' Nekstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laings Neckstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Langnekstr.,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Laings' Nekstr.,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Langsnekstraat,https://adamlink.nl/geo/street/laings-nekstraat/2590,http://www.wikidata.org/entity/Q19317859,Laing's Nekstraat,Point(4.9227938383423 52.35638748947),1910,1910,0,0;
Distelstraat Lange,https://adamlink.nl/geo/street/lange-distelstraat/2605,http://www.wikidata.org/entity/Q19319379,Lange Distelstraat,Point(4.9096067259101 52.391891310757),1919,1919,0,0;
lange distelstr.,https://adamlink.nl/geo/street/lange-distelstraat/2605,http://www.wikidata.org/entity/Q19319379,Lange Distelstraat,Point(4.9096067259101 52.391891310757),1919,1919,0,0;
L Distelstraat,https://adamlink.nl/geo/street/lange-distelstraat/2605,http://www.wikidata.org/entity/Q19319379,Lange Distelstraat,Point(4.9096067259101 52.391891310757),1919,1919,0,0;
l.houtstr.,https://adamlink.nl/geo/street/lange-houtstraat/6358,,Lange Houtstraat,Point(4.9022551674885 52.367515516927),1590,1610,1975,1980;
Lange-Houtstraat,https://adamlink.nl/geo/street/lange-houtstraat/6358,,Lange Houtstraat,Point(4.9022551674885 52.367515516927),1590,1610,1975,1980;
D. Houtstr.,https://adamlink.nl/geo/street/korte-houtstraat/5643,,Korte Houtstraat,Point(4.9005211468301 52.367514693172),1593,1692,1975,1980;
Lange Houtstr.,https://adamlink.nl/geo/street/lange-houtstraat/6358,,Lange Houtstraat,Point(4.9022551674885 52.367515516927),1590,1610,1975,1980;
lange Houtstr,https://adamlink.nl/geo/street/lange-houtstraat/6358,,Lange Houtstraat,Point(4.9022551674885 52.367515516927),1590,1610,1975,1980;
L. Houtstraat,https://adamlink.nl/geo/street/lange-houtstraat/6358,,Lange Houtstraat,Point(4.9022551674885 52.367515516927),1590,1610,1975,1980;
Lng. Houtstr.,https://adamlink.nl/geo/street/lange-houtstraat/6358,,Lange Houtstraat,Point(4.9022551674885 52.367515516927),1590,1610,1975,1980;
L Houtstraat,https://adamlink.nl/geo/street/lange-houtstraat/6358,,Lange Houtstraat,Point(4.9022551674885 52.367515516927),1590,1610,1975,1980;
L.Houtstraat,https://adamlink.nl/geo/street/lange-houtstraat/6358,,Lange Houtstraat,Point(4.9022551674885 52.367515516927),1590,1610,1975,1980;
L. Houtstr.,https://adamlink.nl/geo/street/lange-houtstraat/6358,,Lange Houtstraat,Point(4.9022551674885 52.367515516927),1590,1610,1975,1980;
L. Houstr.,https://adamlink.nl/geo/street/lange-houtstraat/6358,,Lange Houtstraat,Point(4.9022551674885 52.367515516927),1590,1610,1975,1980;
Keizersdwarsstraat Lange,https://adamlink.nl/geo/street/lange-keizersdwarsstraat/2608,,Lange Keizersdwarsstraat,,1585,1692,1975,1985;
Lange Keizerdwarsstraat,https://adamlink.nl/geo/street/lange-keizersdwarsstraat/2608,,Lange Keizersdwarsstraat,,1585,1692,1975,1985;
Lange Keizersdw.straat,https://adamlink.nl/geo/street/lange-keizersdwarsstraat/2608,,Lange Keizersdwarsstraat,,1585,1692,1975,1985;
L Leidschedwarsstraat,https://adamlink.nl/geo/street/lange-leidsedwarsstraat/2609,http://www.wikidata.org/entity/Q19319685,Lange Leidsedwarsstraat,Point(4.8836168041657 52.364626709097),1662,1692,0,0;
L. Leidschedw.str.,https://adamlink.nl/geo/street/lange-leidsedwarsstraat/2609,http://www.wikidata.org/entity/Q19319685,Lange Leidsedwarsstraat,Point(4.8836168041657 52.364626709097),1662,1692,0,0;
Lange Leidschedwarsstr.,https://adamlink.nl/geo/street/lange-leidsedwarsstraat/2609,http://www.wikidata.org/entity/Q19319685,Lange Leidsedwarsstraat,Point(4.8836168041657 52.364626709097),1662,1692,0,0;
Leidsedwarsstraat Lange,https://adamlink.nl/geo/street/lange-leidsedwarsstraat/2609,http://www.wikidata.org/entity/Q19319685,Lange Leidsedwarsstraat,Point(4.8836168041657 52.364626709097),1662,1692,0,0;
