namevariant,wikidata,preflabel,coords,begin,end
searchable,wikidata_url,canonical_form,geometry,begin_min,end_max
Kromhoutlaan,http://www.wikidata.org/entity/Q19314373,Kromhoutlaan,Point(4.6624 52.3794),1958,
Kromme Elleboogsteeg,http://www.wikidata.org/entity/Q17286580,Kromme Elleboogsteeg,Point(4.633976 52.382593),,
Krom Elleboog steeg,http://www.wikidata.org/entity/Q17286580,Kromme Elleboogsteeg,Point(4.633976 52.382593),,
Kromme Voldersgracht,http://www.wikidata.org/entity/Q98100224,Kromme Voldersgracht,Point(4.629978239 52.381745705),,1860
kromme Volders Gracht,http://www.wikidata.org/entity/Q98100224,Kromme Voldersgracht,Point(4.629978239 52.381745705),,1860
Korte Kromme Voldersgragt,http://www.wikidata.org/entity/Q98100224,Kromme Voldersgracht,Point(4.629978239 52.381745705),,1860
Korte Voldersgragt,http://www.wikidata.org/entity/Q98100224,Kromme Voldersgracht,Point(4.629978239 52.381745705),,1860
Kruidplein,http://www.wikidata.org/entity/Q19314864,Kruidplein,Point(4.6441 52.3678),1989,
Kruisstraat,http://www.wikidata.org/entity/Q17286306,Kruisstraat,Point(4.63578 52.38393),1200,
Kruisstraat (Haarlem),http://www.wikidata.org/entity/Q17286306,Kruisstraat,Point(4.63578 52.38393),1200,
Kruistochtstraat,http://www.wikidata.org/entity/Q19315255,Kruistochtstraat,Point(4.6494 52.3755),1919,
Kruisweg,http://www.wikidata.org/entity/Q17286612,Kruisweg,Point(4.63665 52.38706),1300,
Kruisweg (Haarlem),http://www.wikidata.org/entity/Q17286612,Kruisweg,Point(4.63665 52.38706),1300,
Kuipersweg,http://www.wikidata.org/entity/Q19315821,Kuipersweg,Point(4.6599 52.3996),1985,
Kuppersweg,http://www.wikidata.org/entity/Q19315909,Kuppersweg,Point(4.6546 52.3916),,
Kurassiersstraat,http://www.wikidata.org/entity/Q19315913,Kurassiersstraat,Point(4.6384 52.3926),2010,
Kweektuinstraat,http://www.wikidata.org/entity/Q19316188,Kweektuinstraat,Point(4.6359 52.3973),1925,
Akendamstraat,http://www.wikidata.org/entity/Q19316188,Kweektuinstraat,Point(4.6359 52.3973),1925,
Laan van Angers,http://www.wikidata.org/entity/Q19316770,Laan van Angers,Point(4.647887 52.358782),1966,
Laan van Berlijn,http://www.wikidata.org/entity/Q19316794,Laan van Berlijn,Point(4.650115 52.356704),1964,
Laan van Decima,http://www.wikidata.org/entity/Q19316862,Laan van Decima,Point(4.6705 52.3848),1997,
Laan van Osnabrück,http://www.wikidata.org/entity/Q19317011,Laan van Osnabrück,Point(4.650621 52.359028),1966,
Laan van Parijs,http://www.wikidata.org/entity/Q19317023,Laan van Parijs,Point(4.646949 52.356458),1964,
Lakenkopersstraat,http://www.wikidata.org/entity/Q19317878,Lakenkopersstraat,Point(4.6263 52.3764),1906,
Lambrecht van Dalelaan,http://www.wikidata.org/entity/Q19318022,Lambrecht van Dalelaan,Point(4.6068 52.3841),1934,
Landschot,http://www.wikidata.org/entity/Q19318656,Landschot,Point(4.6534 52.3481),,
Lange Annastraat,http://www.wikidata.org/entity/Q17286624,Lange Annastraat,Point(4.630555 52.37819),1628,
St. Michielstraat,http://www.wikidata.org/entity/Q17286624,Lange Annastraat,Point(4.630555 52.37819),1628,
St. Annasteeg,http://www.wikidata.org/entity/Q17286624,Lange Annastraat,Point(4.630555 52.37819),1628,
Annastraat,http://www.wikidata.org/entity/Q17286624,Lange Annastraat,Point(4.630555 52.37819),1628,
lange St. Anna straat,http://www.wikidata.org/entity/Q17286624,Lange Annastraat,Point(4.630555 52.37819),1628,
Lange Begijnestraat,http://www.wikidata.org/entity/Q17286634,Lange Begijnestraat,Point(4.638896584 52.381886505),1400,
lange Bagijnen straat,http://www.wikidata.org/entity/Q17286634,Lange Begijnestraat,Point(4.638896584 52.381886505),1400,
Lange Bogaardstraat,http://www.wikidata.org/entity/Q19319288,Lange Bogaardstraat,Point(4.6305 52.3795),1475,
lange Bogaard straat,http://www.wikidata.org/entity/Q19319288,Lange Bogaardstraat,Point(4.6305 52.3795),1475,
Lange Herenstraat,http://www.wikidata.org/entity/Q19319546,Lange Herenstraat,Point(4.6381 52.3864),1688,
Nieuwe Heerestraat,http://www.wikidata.org/entity/Q19319546,Lange Herenstraat,Point(4.6381 52.3864),1688,
Heerestraat,http://www.wikidata.org/entity/Q19319546,Lange Herenstraat,Point(4.6381 52.3864),1688,
lange Heeren straat,http://www.wikidata.org/entity/Q19319546,Lange Herenstraat,Point(4.6381 52.3864),1688,
Lange Herenvest,http://www.wikidata.org/entity/Q19319550,Lange Herenvest,Point(4.6449 52.3796),1400,
Herenwegh buyten de Schalkwijckerpoort,http://www.wikidata.org/entity/Q19319550,Lange Herenvest,Point(4.6449 52.3796),1400,
lange Heeren vest,http://www.wikidata.org/entity/Q19319550,Lange Herenvest,Point(4.6449 52.3796),1400,
Lange Hofstraat,http://www.wikidata.org/entity/Q19319583,Lange Hofstraat,Point(4.636 52.3767),1628,
lange Hof straat,http://www.wikidata.org/entity/Q19319583,Lange Hofstraat,Point(4.636 52.3767),1628,
Lange Lakenstraat,http://www.wikidata.org/entity/Q19319672,Lange Lakenstraat,Point(4.6294 52.3784),1628,
lange laken straat,http://www.wikidata.org/entity/Q19319672,Lange Lakenstraat,Point(4.6294 52.3784),1628,
Lange Margarethastraat,http://www.wikidata.org/entity/Q17286659,Lange Margarethastraat,Point(4.634803 52.384081),1487,
Lange Margrietenstraat,http://www.wikidata.org/entity/Q17286659,Lange Margarethastraat,Point(4.634803 52.384081),1487,
Margrietenstraat,http://www.wikidata.org/entity/Q17286659,Lange Margarethastraat,Point(4.634803 52.384081),1487,
Sinte Margrietenstege,http://www.wikidata.org/entity/Q17286659,Lange Margarethastraat,Point(4.634803 52.384081),1487,
Sinte Margrietenstraat,http://www.wikidata.org/entity/Q17286659,Lange Margarethastraat,Point(4.634803 52.384081),1487,
Afterstraet bi Sinte Margrieten,http://www.wikidata.org/entity/Q17286659,Lange Margarethastraat,Point(4.634803 52.384081),1487,
lange Margaretha straat,http://www.wikidata.org/entity/Q17286659,Lange Margarethastraat,Point(4.634803 52.384081),1487,
Lange Molenstraat,http://www.wikidata.org/entity/Q98117567,Lange Molenstraat,Point(4.638152 52.387009),,1970
Lange Poellaan,http://www.wikidata.org/entity/Q19319849,Lange Poellaan,Point(4.6372 52.3746),1654,
Lange  Poellaan,http://www.wikidata.org/entity/Q19319849,Lange Poellaan,Point(4.6372 52.3746),1654,
Poelslaen,http://www.wikidata.org/entity/Q19319849,Lange Poellaan,Point(4.6372 52.3746),1654,
Lange Raamstraat,http://www.wikidata.org/entity/Q19319862,Lange Raamstraat,Point(4.63 52.3785),1417,
lange Raam straat,http://www.wikidata.org/entity/Q19319862,Lange Raamstraat,Point(4.63 52.3785),1417,
Lange Rozenstraat,http://www.wikidata.org/entity/Q98118494,Lange Rozenstraat,Point(4.638324 52.387427),,1840
lange Rozen straat,http://www.wikidata.org/entity/Q98118494,Lange Rozenstraat,Point(4.638324 52.387427),,1840
Lange Ruiterstraat,http://www.wikidata.org/entity/Q98118379,Lange Ruiterstraat,Point(4.638542532 52.38780625),,1840
Oude Ruyterstraat,http://www.wikidata.org/entity/Q98118379,Lange Ruiterstraat,Point(4.638542532 52.38780625),,1840
Oude Ruiterstraat,http://www.wikidata.org/entity/Q98118379,Lange Ruiterstraat,Point(4.638542532 52.38780625),,1840
Zaksteeg,http://www.wikidata.org/entity/Q98118379,Lange Ruiterstraat,Point(4.638542532 52.38780625),,1840
Ruyterst,http://www.wikidata.org/entity/Q98118379,Lange Ruiterstraat,Point(4.638542532 52.38780625),,1840
Ruyterstraat,http://www.wikidata.org/entity/Q98118379,Lange Ruiterstraat,Point(4.638542532 52.38780625),,1840
Lange Ruyterstraat,http://www.wikidata.org/entity/Q98118379,Lange Ruiterstraat,Point(4.638542532 52.38780625),,1840
Ruiterstraat,http://www.wikidata.org/entity/Q98118379,Lange Ruiterstraat,Point(4.638542532 52.38780625),,1840
Lange Ruiters straat of Zak steeg,http://www.wikidata.org/entity/Q98118379,Lange Ruiterstraat,Point(4.638542532 52.38780625),,1840
Lange Veerstraat,http://www.wikidata.org/entity/Q17286671,Lange Veerstraat,Point(4.63798 52.380336),1300,
Veerstraete,http://www.wikidata.org/entity/Q17286671,Lange Veerstraat,Point(4.63798 52.380336),1300,
Lizenstrate van Velzen,http://www.wikidata.org/entity/Q17286671,Lange Veerstraat,Point(4.63798 52.380336),1300,
lange Veer straat,http://www.wikidata.org/entity/Q17286671,Lange Veerstraat,Point(4.63798 52.380336),1300,
Lange Vijfmatlaan,http://www.wikidata.org/entity/Q19320064,Lange Vijfmatlaan,Point(4.6525 52.3685),,
Lange Vlamingstraat,http://www.wikidata.org/entity/Q98075423,Lange Vlamingstraat,Point(4.630028 52.379722),,1941
lange Vlaming straat,http://www.wikidata.org/entity/Q98075423,Lange Vlamingstraat,Point(4.630028 52.379722),,1941
Lange Wijngaardstraat,http://www.wikidata.org/entity/Q19320206,Lange Wijngaardstraat,Point(4.6366 52.3829),1514,
Lange Wijngaard straat,http://www.wikidata.org/entity/Q19320206,Lange Wijngaardstraat,Point(4.6366 52.3829),1514,
Langendijkstraat,http://www.wikidata.org/entity/Q19320591,Langendijkstraat,Point(4.6252 52.3842),1902,
Lansiersstraat,http://www.wikidata.org/entity/Q19321139,Lansiersstraat,Point(4.6392 52.3927),2010,
Laurens Reaellaan,http://www.wikidata.org/entity/Q19321451,Laurens Reaellaan,Point(4.6307 52.4057),1956,
Laurierstraat,http://www.wikidata.org/entity/Q19321522,Laurierstraat,Point(4.632 52.4024),1923,
Lavendelstraat,http://www.wikidata.org/entity/Q19322890,Lavendelstraat,Point(4.6429 52.3679),1988,
Ledeboerstraat,http://www.wikidata.org/entity/Q19323023,Ledeboerstraat,Point(4.6601 52.3656),,
Leeghwaterstraat,http://www.wikidata.org/entity/Q19323084,Leeghwaterstraat,Point(4.6243 52.3765),1894,
Leendert Meeszstraat,http://www.wikidata.org/entity/Q19323295,Leendert Meeszstraat,Point(4.607 52.3809),1936,
Leeuwendalersstraat,http://www.wikidata.org/entity/Q19323529,Leeuwendalersstraat,Point(4.6506 52.4183),1934,
Leeuwerikstraat,http://www.wikidata.org/entity/Q19323738,Leeuwerikstraat,Point(4.6528 52.4124),1925,
Leidseplein,http://www.wikidata.org/entity/Q19324025,Leidseplein,Point(4.6244 52.3799),1896,
Leidseplein (Haarlem),http://www.wikidata.org/entity/Q19324025,Leidseplein,Point(4.6244 52.3799),1896,
Leidsestraat,http://www.wikidata.org/entity/Q19324028,Leidsestraat,Point(4.6224 52.3786),1884,
Leidsevaart,http://www.wikidata.org/entity/Q17286692,Leidsevaart,Point(4.624658 52.378108),1657,
Leidse Trekvaart,http://www.wikidata.org/entity/Q17286692,Leidsevaart,Point(4.624658 52.378108),1657,
Leidsezijstraat,http://www.wikidata.org/entity/Q19324049,Leidsezijstraat,Point(4.6233 52.3778),1900,
Lekstraat,http://www.wikidata.org/entity/Q19324258,Lekstraat,Point(4.6482 52.4131),1926,
Leliestraat,http://www.wikidata.org/entity/Q19324359,Leliestraat,Point(4.6434 52.3793),1471,
Witte Leliestraat of Slijkstraat,http://www.wikidata.org/entity/Q19324359,Leliestraat,Point(4.6434 52.3793),1471,
Slicksteege,http://www.wikidata.org/entity/Q19324359,Leliestraat,Point(4.6434 52.3793),1471,
Witte Lely of Slijk straat,http://www.wikidata.org/entity/Q19324359,Leliestraat,Point(4.6434 52.3793),1471,
Lennaert Nijghpad,http://www.wikidata.org/entity/Q96943180,Lennaert Nijghpad,Point(4.646651 52.420138),2011,
Leo Gestelstraat,http://www.wikidata.org/entity/Q19324798,Leo Gestelstraat,Point(4.634 52.3918),2014,
Leonard Springerlaan,http://www.wikidata.org/entity/Q19324848,Leonard Springerlaan,Point(4.6607 52.3758),1958,
Leonardo da Vinciplein,http://www.wikidata.org/entity/Q19324868,Leonardo da Vinciplein,Point(4.664 52.3551),,
Leonora Hellemansstraat,http://www.wikidata.org/entity/Q19324978,Leonora Hellemansstraat,Point(4.6485 52.4214),2004,
Lepelstraat,http://www.wikidata.org/entity/Q19325693,Lepelstraat,Point(4.6364 52.381),1600,
Tussen de Palen of Lepel straat,http://www.wikidata.org/entity/Q19325693,Lepelstraat,Point(4.6364 52.381),1600,
Leuvenstraat,http://www.wikidata.org/entity/Q19326184,Leuvenstraat,Point(4.6457 52.3594),1964,
Lichtfabriekplein,http://www.wikidata.org/entity/Q19326392,Lichtfabriekplein,Point(4.6526 52.3872),,
Liechtensteinhof,http://www.wikidata.org/entity/Q19326438,Liechtensteinhof,Point(4.650378 52.358886),1987,
Lien Gisolfstraat,http://www.wikidata.org/entity/Q19326512,Lien Gisolfstraat,Point(4.6499 52.3864),,
Lieoever,http://www.wikidata.org/entity/Q19326553,Lieoever,Point(4.6735 52.378),1994,
Lieve Vrouwe Gracht,http://www.wikidata.org/entity/Q19326667,Lieve Vrouwe Gracht,Point(4.6404 52.3773),1543,
(Lieve) Vrouwesteeg,http://www.wikidata.org/entity/Q19326667,Lieve Vrouwe Gracht,Point(4.6404 52.3773),1543,
Vrouwe steeg,http://www.wikidata.org/entity/Q19326667,Lieve Vrouwe Gracht,Point(4.6404 52.3773),1543,
Liewegje,http://www.wikidata.org/entity/Q19326739,Liewegje,Point(4.6773 52.3792),1591,
Ligusterlaan,http://www.wikidata.org/entity/Q19326783,Ligusterlaan,Point(4.6054 52.3698),1935,
Lijnbaanstraat,http://www.wikidata.org/entity/Q19326902,Lijnbaanstraat,Point(4.6445 52.3779),1978,
Lijsterstraat,http://www.wikidata.org/entity/Q19327351,Lijsterstraat,Point(4.6535 52.4128),1925,
Lindenstraat,http://www.wikidata.org/entity/Q19328057,Lindenstraat,Point(4.6398 52.3995),1920,
Lingestraat,http://www.wikidata.org/entity/Q19328285,Lingestraat,Point(4.6494 52.412),1931,
Linnaeuslaan,http://www.wikidata.org/entity/Q19328390,Linnaeuslaan,Point(4.6317 52.3658),1907,
Linschotenstraat,http://www.wikidata.org/entity/Q19328441,Linschotenstraat,Point(4.6401 52.3753),1880,
Lissabonplantsoen,http://www.wikidata.org/entity/Q19328644,Lissabonplantsoen,Point(4.6512 52.3603),1969,
Liverpoolstraat,http://www.wikidata.org/entity/Q19328759,Liverpoolstraat,Point(4.6463 52.3579),1964,
Lizzy Ansinghstraat,http://www.wikidata.org/entity/Q96312621,Lizzy Ansinghstraat,Point(4.633002 52.391905),2014,
Lodewijk van Deijssellaan,http://www.wikidata.org/entity/Q19328988,Lodewijk van Deijssellaan,Point(4.6298 52.4025),1935,
Lombardsteeg,http://www.wikidata.org/entity/Q19329338,Lombardsteeg,Point(4.6386 52.3822),1472,
Lombard steeg,http://www.wikidata.org/entity/Q19329338,Lombardsteeg,Point(4.6386 52.3822),1472,
Lombokstraat,http://www.wikidata.org/entity/Q19329377,Lombokstraat,Point(4.6459 52.3981),1909,
Lommerlustlaan,http://www.wikidata.org/entity/Q19329411,Lommerlustlaan,Point(4.634 52.3701),2009,
Londenstraat,http://www.wikidata.org/entity/Q19329438,Londenstraat,Point(4.645949 52.358202),1964,
Lootsstraat,http://www.wikidata.org/entity/Q19329816,Lootsstraat,Point(4.6481 52.3776),1924,
Lorentzkade,http://www.wikidata.org/entity/Q19329938,Lorentzkade,Point(4.6091 52.3688),1931,
Lorentzplein,http://www.wikidata.org/entity/Q19329964,Lorentzplein,Point(4.6282 52.3747),1928,
Lotterstraat,http://www.wikidata.org/entity/Q19330110,Lotterstraat,Point(4.6453 52.394),1901,
Louis Couperusstraat,http://www.wikidata.org/entity/Q19330203,Louis Couperusstraat,Point(4.6386 52.4076),1954,
Louis Ferronstraat,http://www.wikidata.org/entity/Q96943171,Louis Ferronstraat,Point(4.646726 52.421686),2011,
Louis Hartzplein,http://www.wikidata.org/entity/Q19330235,Louis Hartzplein,Point(4.6643 52.376),1958,
Louis Pasteurstraat,http://www.wikidata.org/entity/Q19330251,Louis Pasteurstraat,Point(4.6569 52.3662),,
Louise de Colignylaan,http://www.wikidata.org/entity/Q19330401,Louise de Colignylaan,Point(4.6326 52.3637),1924,
Lourens Costerstraat,http://www.wikidata.org/entity/Q19330766,Lourens Costerstraat,Point(4.6201 52.3745),1894,
Lucas Meijerstraat,http://www.wikidata.org/entity/Q19331265,Lucas Meijerstraat,Point(4.6478 52.3931),1914,
Luciferstraat,http://www.wikidata.org/entity/Q19331668,Luciferstraat,Point(4.6517 52.4201),1934,
Lutulistraat,http://www.wikidata.org/entity/Q19332379,Lutulistraat,Point(4.667 52.3602),,
Luxemburgstraat,http://www.wikidata.org/entity/Q19332419,Luxemburgstraat,Point(4.645447 52.362345),1960,
Lyceumlaan,http://www.wikidata.org/entity/Q19332473,Lyceumlaan,Point(4.6143 52.3622),1959,
Maasstraat,http://www.wikidata.org/entity/Q19333221,Maasstraat,Point(4.6489 52.4141),1926,
Madioenstraat,http://www.wikidata.org/entity/Q19333668,Madioenstraat,Point(4.6535 52.4046),1923,
Madoerastraat,http://www.wikidata.org/entity/Q19333679,Madoerastraat,Point(4.6485 52.3977),1921,
Madridplantsoen,http://www.wikidata.org/entity/Q19333692,Madridplantsoen,Point(4.6508 52.361),1964,
Maerten van Heemskerckstraat,http://www.wikidata.org/entity/Q19333732,Maerten van Heemskerckstraat,Point(4.6347 52.3911),1882,
Magdalenahof,http://www.wikidata.org/entity/Q19333780,Magdalenahof,Point(4.6316 52.3843),1978,
Magdalenastraat,http://www.wikidata.org/entity/Q19333786,Magdalenastraat,Point(4.6321 52.3841),1543,
Magdalena straat,http://www.wikidata.org/entity/Q19333786,Magdalenastraat,Point(4.6321 52.3841),1543,
Malpighistraat,http://www.wikidata.org/entity/Q19334242,Malpighistraat,Point(4.663 52.3676),1993,
Malthusstraat,http://www.wikidata.org/entity/Q19334260,Malthusstraat,Point(4.6594 52.3672),1987,
Maraisstraat,http://www.wikidata.org/entity/Q19334570,Maraisstraat,Point(4.6465 52.3952),1902,
Marcelisvaartpad,http://www.wikidata.org/entity/Q19334614,Marcelisvaartpad,Point(4.6068 52.3783),1700,
Marcellus Emantsstraat,http://www.wikidata.org/entity/Q19334626,Marcellus Emantsstraat,Point(4.6394 52.4069),1954,
Marconistraat,http://www.wikidata.org/entity/Q19334749,Marconistraat,Point(4.6138 52.3688),1939,
Margadantstraat,http://www.wikidata.org/entity/Q19335023,Margadantstraat,Point(4.6639 52.3779),1990,
Mari Andriessenplein,http://www.wikidata.org/entity/Q19335388,Mari Andriessenplein,Point(4.6369 52.3754),1984,
Marianne Philipsplantsoen,http://www.wikidata.org/entity/Q19335760,Marianne Philipsplantsoen,Point(4.6453 52.4185),1954,
Mariëttahof,http://www.wikidata.org/entity/Q19336007,Mariëttahof,Point(4.6611 52.3793),1993,
Marjoleinpad,http://www.wikidata.org/entity/Q19336373,Marjoleinpad,Point(4.643527 52.368831),1988,
Marnixplein,http://www.wikidata.org/entity/Q19337163,Marnixplein,Point(4.6375 52.4019),1930,
Marnixstraat,http://www.wikidata.org/entity/Q19337173,Marnixstraat,Point(4.6359 52.3988),1921,
Marshallstraat,http://www.wikidata.org/entity/Q19337432,Marshallstraat,Point(4.6662 52.3587),,
Marsmanplein,http://www.wikidata.org/entity/Q19337644,Marsmanplein,Point(4.6475 52.4167),1954,
Marsstraat,http://www.wikidata.org/entity/Q19337775,Marsstraat,Point(4.6419 52.4059),1930,
Martin Luther Kinglaan,http://www.wikidata.org/entity/Q19338348,Martin Luther Kinglaan,Point(4.6612 52.3537),,
Martin Monnickendamplein,http://www.wikidata.org/entity/Q19338452,Martin Monnickendamplein,Point(4.664 52.3754),1958,2017
Martinus Nijhofflaan,http://www.wikidata.org/entity/Q19338562,Martinus Nijhofflaan,Point(4.645 52.4174),1954,
Hollandsch Diepstraat,http://www.wikidata.org/entity/Q19338562,Martinus Nijhofflaan,Point(4.645 52.4174),1954,
Mary Fleischmannstraat,http://www.wikidata.org/entity/Q19338796,Mary Fleischmannstraat,Point(4.6604 52.3533),,
Mathijsenstraat,http://www.wikidata.org/entity/Q19339545,Mathijsenstraat,Point(4.6617 52.3625),,
Mathilde Wredestraat,http://www.wikidata.org/entity/Q19339618,Mathilde Wredestraat,Point(4.6641 52.3528),,
Mauritsstraat,http://www.wikidata.org/entity/Q19340301,Mauritsstraat,Point(4.627 52.3796),1886,
Maus Gatsonidesweg,http://www.wikidata.org/entity/Q19340558,Maus Gatsonidesweg,Point(4.6616 52.4028),,
Mauveplein,http://www.wikidata.org/entity/Q19340566,Mauveplein,Point(4.6335 52.3915),2014,
Max Euweplein,http://www.wikidata.org/entity/Q19340592,Max Euweplein,Point(4.6505 52.387),,
Maxwellstraat,http://www.wikidata.org/entity/Q19340669,Maxwellstraat,Point(4.6135 52.3677),1922,
Mecklenburgstraat,http://www.wikidata.org/entity/Q19340774,Mecklenburgstraat,Point(4.6266 52.3747),1929,
Medanstraat,http://www.wikidata.org/entity/Q19340788,Medanstraat,Point(4.6512 52.406),1929,
Meerkoetstraat,http://www.wikidata.org/entity/Q19341210,Meerkoetstraat,Point(4.6556 52.4126),1932,
Meester Cornelisstraat,http://www.wikidata.org/entity/Q19341550,Meester Cornelisstraat,Point(4.6305 52.3938),1917,
Meesterjoostenlaan,http://www.wikidata.org/entity/Q19341901,Meesterjoostenlaan,Point(4.6346 52.3725),1657,
Mr. Joostenlaan,http://www.wikidata.org/entity/Q19341901,Meesterjoostenlaan,Point(4.6346 52.3725),1657,
Meesterlottelaan,http://www.wikidata.org/entity/Q19341902,Meesterlottelaan,Point(4.6274 52.3699),1635,
Meeuwenstraat,http://www.wikidata.org/entity/Q19342015,Meeuwenstraat,Point(4.6521 52.4116),1932,
Meidoornplein,http://www.wikidata.org/entity/Q19342306,Meidoornplein,Point(4.6354 52.4016),1923,
Meiendel,http://www.wikidata.org/entity/Q19342486,Meiendel,Point(4.6492 52.3482),,
Melissestraat,http://www.wikidata.org/entity/Q19342931,Melissestraat,Point(4.643237 52.368373),1988,
Melkboersteeg,http://www.wikidata.org/entity/Q19342942,Melkboersteeg,Point(4.6457 52.381),1586,
Wielemakersteeg,http://www.wikidata.org/entity/Q19342942,Melkboersteeg,Point(4.6457 52.381),1586,
Boeresteeg,http://www.wikidata.org/entity/Q19342942,Melkboersteeg,Point(4.6457 52.381),1586,
Boeren steeg,http://www.wikidata.org/entity/Q19342942,Melkboersteeg,Point(4.6457 52.381),1586,
Melkerijpad,http://www.wikidata.org/entity/Q19342960,Melkerijpad,Point(4.6452 52.4101),1964,
Mendelstraat,http://www.wikidata.org/entity/Q19343516,Mendelstraat,Point(4.666 52.3664),,
Menno ter Braakplantsoen,http://www.wikidata.org/entity/Q19343594,Menno ter Braakplantsoen,Point(4.6459 52.4188),,
Mentawistraat,http://www.wikidata.org/entity/Q19343680,Mentawistraat,Point(4.6467 52.3996),1921,
Mentonpassage,http://www.wikidata.org/entity/Q19343698,Mentonpassage,Point(4.655 52.3598),,
Mercuriusstraat,http://www.wikidata.org/entity/Q19343857,Mercuriusstraat,Point(4.6391 52.4035),1930,
Merensplein,http://www.wikidata.org/entity/Q19344153,Merensplein,Point(4.6417 52.3747),1977,
Merkmanstraat,http://www.wikidata.org/entity/Q19344238,Merkmanstraat,Point(4.6222 52.3841),1918,
Merovingenstraat,http://www.wikidata.org/entity/Q19344280,Merovingenstraat,Point(4.6476 52.3719),1922,
Merwedestraat,http://www.wikidata.org/entity/Q19344367,Merwedestraat,Point(4.6483 52.4146),1926,
Mesdagstraat,http://www.wikidata.org/entity/Q19344469,Mesdagstraat,Point(4.6338 52.3912),2014,
Meteorenstraat,http://www.wikidata.org/entity/Q19344577,Meteorenstraat,Point(4.6353 52.4037),1930,
Midden Tuindorpslaan,http://www.wikidata.org/entity/Q19345709,Midden Tuindorpslaan,Point(4.6014 52.3821),1919,
Middenweg,http://www.wikidata.org/entity/Q19345994,Middenweg,Point(4.6427 52.4008),1200,
Schotervoetpad,http://www.wikidata.org/entity/Q19345994,Middenweg,Point(4.6427 52.4008),1200,
Middelwech,http://www.wikidata.org/entity/Q19345994,Middenweg,Point(4.6427 52.4008),1200,
Mierikshof,http://www.wikidata.org/entity/Q19346230,Mierikshof,Point(4.645 52.3679),1989,
Milaanstraat,http://www.wikidata.org/entity/Q19346376,Milaanstraat,Point(4.648463 52.360469),1964,
Minahassastraat,http://www.wikidata.org/entity/Q19346627,Minahassastraat,Point(4.652 52.4077),1925,
Minaretstraat,http://www.wikidata.org/entity/Q19346632,Minaretstraat,Point(4.659 52.3737),,
Minckelersweg,http://www.wikidata.org/entity/Q19346652,Minckelersweg,Point(4.6523 52.3865),1994,
Minnebroederssteeg,http://www.wikidata.org/entity/Q47008062,Minnebroederssteeg,Point(4.635378 52.377322),,
Minnebroeders steeg,http://www.wikidata.org/entity/Q47008062,Minnebroederssteeg,Point(4.635378 52.377322),,
Mohammed Hattastraat,http://www.wikidata.org/entity/Q19347477,Mohammed Hattastraat,Point(4.6695 52.3754),,
Molenaerstraat,http://www.wikidata.org/entity/Q19347576,Molenaerstraat,Point(4.6342 52.3944),1910,
Molenpad,http://www.wikidata.org/entity/Q98356567,Molenpad,Point(4.625948 52.377096),1667,1896
Molijnstraat,http://www.wikidata.org/entity/Q19349879,Molijnstraat,Point(4.6293 52.3959),1917,
Mollerusweg,http://www.wikidata.org/entity/Q19349911,Mollerusweg,Point(4.6644 52.3927),1978,
Molukkenstraat,http://www.wikidata.org/entity/Q19349963,Molukkenstraat,Point(4.6493 52.3992),1922,
Monacopad,http://www.wikidata.org/entity/Q19349991,Monacopad,Point(4.646241 52.36247),1960,
Montessoristraat,http://www.wikidata.org/entity/Q19350273,Montessoristraat,Point(4.6634 52.3583),,
Mooie Nelweg,http://www.wikidata.org/entity/Q19350364,Mooie Nelweg,Point(4.6684 52.4052),,
Morinnesteeg,http://www.wikidata.org/entity/Q19350593,Morinnesteeg,Point(4.6367 52.3826),1395,
Morinne steeg,http://www.wikidata.org/entity/Q19350593,Morinnesteeg,Point(4.6367 52.3826),1395,
Moskoustraat,http://www.wikidata.org/entity/Q19350749,Moskoustraat,Point(4.649227 52.359198),1964,
Mr. Gerlingsstraat,http://www.wikidata.org/entity/Q19351221,Mr. Gerlingsstraat,Point(4.6473 52.4045),1925,
Mr. Jan Gerritszlaan,http://www.wikidata.org/entity/Q19351273,Mr. Jan Gerritszlaan,Point(4.6433 52.4085),1936,
Muiderkring,http://www.wikidata.org/entity/Q19351475,Muiderkring,Point(4.6505 52.4177),1989,
Muiderslotweg,http://www.wikidata.org/entity/Q19351495,Muiderslotweg,Point(4.6526 52.4191),1934,
Munterslaan,http://www.wikidata.org/entity/Q19351909,Munterslaan,Point(4.6089 52.3667),1750,
Muntstraat,http://www.wikidata.org/entity/Q19351955,Muntstraat,Point(4.6467 52.3676),1989,
Nachtegaalstraat,http://www.wikidata.org/entity/Q19352465,Nachtegaalstraat,Point(4.6528 52.4138),1925,
Nadorststraat,http://www.wikidata.org/entity/Q19352570,Nadorststraat,Point(4.6263 52.3814),1973,
Nagtzaamplein,http://www.wikidata.org/entity/Q19352616,Nagtzaamplein,Point(4.6491 52.3776),1924,
Nagtzaamstraat,http://www.wikidata.org/entity/Q19352617,Nagtzaamstraat,Point(4.6505 52.379),1905,
Oosterstraat,http://www.wikidata.org/entity/Q19352617,Nagtzaamstraat,Point(4.6505 52.379),1905,
Namenstraat,http://www.wikidata.org/entity/Q19352626,Namenstraat,Point(4.6465 52.3594),1964,
Narcisplantsoen,http://www.wikidata.org/entity/Q19352729,Narcisplantsoen,Point(4.6177 52.386),1985,
Nassaulaan,http://www.wikidata.org/entity/Q17286733,Nassaulaan,Point(4.63294 52.38367),1859,
