namevariant,wikidata,preflabel,coords,begin,end
searchable,wikidata_url,canonical_form,geometry,begin_min,end_max
Jacoba van Veldepad,http://www.wikidata.org/entity/Q96943092,Jacoba van Veldepad,Point(4.646109 52.421666),2011,
Jacobijnestraat,http://www.wikidata.org/entity/Q17286479,Jacobijnestraat,Point(4.63339 52.38125),1359,
Jakobijnen straat,http://www.wikidata.org/entity/Q17286479,Jacobijnestraat,Point(4.63339 52.38125),1359,
Jacobstraat,http://www.wikidata.org/entity/Q19274860,Jacobstraat,Point(4.63 52.3817),2009,
Jacques Meuwissenweg,http://www.wikidata.org/entity/Q19275087,Jacques Meuwissenweg,Point(4.6606 52.4021),,
Jacques Perklaan,http://www.wikidata.org/entity/Q19275098,Jacques Perklaan,Point(4.638 52.4096),1954,
James Simpsonstraat,http://www.wikidata.org/entity/Q19275968,James Simpsonstraat,Point(4.6589 52.3672),1987,
Jan Bontelaan,http://www.wikidata.org/entity/Q19276312,Jan Bontelaan,Point(4.6095 52.3829),1936,
Jan Campertstraat,http://www.wikidata.org/entity/Q19276372,Jan Campertstraat,Point(4.646146 52.41935),1954,
Jan de Braystraat,http://www.wikidata.org/entity/Q19276430,Jan de Braystraat,Point(4.632507562 52.390422085),2014,
Jan de Mijterlaan,http://www.wikidata.org/entity/Q19276454,Jan de Mijterlaan,Point(4.6087 52.3831),1936,
De Mijterlaan,http://www.wikidata.org/entity/Q19276454,Jan de Mijterlaan,Point(4.6087 52.3831),1936,
Jan Evertsenstraat,http://www.wikidata.org/entity/Q19276577,Jan Evertsenstraat,Point(4.6157 52.3791),1931,
Jan Frederik Helmersstraat,http://www.wikidata.org/entity/Q19276625,Jan Frederik Helmersstraat,Point(4.6541 52.3806),1905,
Jan Gijzenkade,http://www.wikidata.org/entity/Q19276662,Jan Gijzenkade,Point(4.653 52.4072),1548,
Jan Gijzenlaan,http://www.wikidata.org/entity/Q19276662,Jan Gijzenkade,Point(4.653 52.4072),1548,
Arthur van Schendelkade,http://www.wikidata.org/entity/Q19276662,Jan Gijzenkade,Point(4.653 52.4072),1548,
Roerdompstraat,http://www.wikidata.org/entity/Q19276662,Jan Gijzenkade,Point(4.653 52.4072),1548,
Jan Gijzenpad,http://www.wikidata.org/entity/Q19276670,Jan Gijzenpad,Point(4.646328 52.412527),1800,
Kerkvoetpad,http://www.wikidata.org/entity/Q19276670,Jan Gijzenpad,Point(4.646328 52.412527),1800,
Kerklaan,http://www.wikidata.org/entity/Q19276670,Jan Gijzenpad,Point(4.646328 52.412527),1800,
Kerkpad,http://www.wikidata.org/entity/Q19276670,Jan Gijzenpad,Point(4.646328 52.412527),1800,
Jan Haringstraat,http://www.wikidata.org/entity/Q19276817,Jan Haringstraat,Point(4.63 52.3982),1921,
Schoterbeekstraat,http://www.wikidata.org/entity/Q19276817,Jan Haringstraat,Point(4.63 52.3982),1921,
Jan Huijgenstraat,http://www.wikidata.org/entity/Q19276941,Jan Huijgenstraat,Point(4.6394 52.3756),1905,
Jan Ligthartstraat,http://www.wikidata.org/entity/Q19277432,Jan Ligthartstraat,Point(4.6612 52.3583),,
Jan Luykenstraat,http://www.wikidata.org/entity/Q19277560,Jan Luykenstraat,Point(4.6514 52.4178),1934,
Jan Luyckenstraat,http://www.wikidata.org/entity/Q19277560,Jan Luykenstraat,Point(4.6514 52.4178),1934,
Jan Nieuwenhuijzenstraat,http://www.wikidata.org/entity/Q19277802,Jan Nieuwenhuijzenstraat,Point(4.6231 52.3784),1900,
Jan Palachstraat,http://www.wikidata.org/entity/Q19277925,Jan Palachstraat,Point(4.6706 52.3789),1987,
Jan Pieterszoon Coenlaan,http://www.wikidata.org/entity/Q19278064,Jan Pieterszoon Coenlaan,Point(4.6273 52.4027),1935,
Jan Prinslaan,http://www.wikidata.org/entity/Q19278160,Jan Prinslaan,Point(4.6456 52.4164),1954,
Volkerakstraat,http://www.wikidata.org/entity/Q19278160,Jan Prinslaan,Point(4.6456 52.4164),1954,
Jan Sluyterslaan,http://www.wikidata.org/entity/Q19278396,Jan Sluyterslaan,Point(4.6648 52.3771),1958,
Jan Steenstraat,http://www.wikidata.org/entity/Q19278667,Jan Steenstraat,Point(4.6296 52.3906),1882,
Jan Stuytstraat,http://www.wikidata.org/entity/Q19261266,Jan Stuytstraat,Point(4.6202 52.3765),1935,
Jan Tademaweg,http://www.wikidata.org/entity/Q19261283,Jan Tademaweg,Point(4.6621 52.3884),1955,
Jan van den Boschstraat,http://www.wikidata.org/entity/Q19261958,Jan van den Boschstraat,Point(4.6611 52.3557),,
Jan van der Horststraat,http://www.wikidata.org/entity/Q19262032,Jan van der Horststraat,Point(4.6606 52.3675),1986,
Jan van Galenstraat,http://www.wikidata.org/entity/Q19262237,Jan van Galenstraat,Point(4.6173 52.3825),1936,
Jan van Geunsweg,http://www.wikidata.org/entity/Q19262360,Jan van Geunsweg,Point(4.6652 52.3901),1964,
Jan van Krimpenweg,http://www.wikidata.org/entity/Q19262660,Jan van Krimpenweg,Point(4.6624 52.3836),1961,
Jan van Napelslaan,http://www.wikidata.org/entity/Q19262692,Jan van Napelslaan,Point(4.6254 52.371),1985,
Jan van Walréstraat,http://www.wikidata.org/entity/Q19263130,Jan van Walréstraat,Point(4.6554 52.3785),1916,
Jan van Zurenstraat,http://www.wikidata.org/entity/Q19263141,Jan van Zurenstraat,Point(4.6187 52.375),1924,
Jan van Zutphenstraat,http://www.wikidata.org/entity/Q19263160,Jan van Zutphenstraat,Point(4.6585 52.3568),,
Jane Addamsstraat,http://www.wikidata.org/entity/Q19263831,Jane Addamsstraat,Point(4.6659 52.3562),,
Janssen van Raaystraat,http://www.wikidata.org/entity/Q19264107,Janssen van Raaystraat,Point(4.6433 52.3786),1910,
Jansstraat,http://www.wikidata.org/entity/Q17195891,Jansstraat,Point(4.638142 52.383056),1300,
Janstraat,http://www.wikidata.org/entity/Q17195891,Jansstraat,Point(4.638142 52.383056),1300,
St. Jansstraat,http://www.wikidata.org/entity/Q17195891,Jansstraat,Point(4.638142 52.383056),1300,
Jansweg,http://www.wikidata.org/entity/Q17286508,Jansweg,Point(4.639695882 52.386738924),1400,
Heerstraat buiten de Janspoort,http://www.wikidata.org/entity/Q17286508,Jansweg,Point(4.639695882 52.386738924),1400,
Sint Jansweg,http://www.wikidata.org/entity/Q17286508,Jansweg,Point(4.639695882 52.386738924),1400,
Heerweg,http://www.wikidata.org/entity/Q17286508,Jansweg,Point(4.639695882 52.386738924),1400,
Jasmijnstraat,http://www.wikidata.org/entity/Q19264422,Jasmijnstraat,Point(4.6165 52.3735),1924,
Javastraat,http://www.wikidata.org/entity/Q19264681,Javastraat,Point(4.6437 52.3969),1906,
Jean Paul Sartrestraat,http://www.wikidata.org/entity/Q19264777,Jean Paul Sartrestraat,Point(4.6679 52.3564),,
Jelgersmastraat,http://www.wikidata.org/entity/Q19264889,Jelgersmastraat,Point(4.6324 52.3943),1921,
Jephtaplein,http://www.wikidata.org/entity/Q19265052,Jephtaplein,Point(4.6575 52.4165),1948,
Jephtastraat,http://www.wikidata.org/entity/Q19265058,Jephtastraat,Point(4.6566 52.4153),1934,
Jetty Velustraat,http://www.wikidata.org/entity/Q19265268,Jetty Velustraat,Point(4.6493 52.3708),2013,
Jo Sterckstraat,http://www.wikidata.org/entity/Q19265541,Jo Sterckstraat,Point(4.6564 52.355),,
Joan Maetsuykerlaan,http://www.wikidata.org/entity/Q19265594,Joan Maetsuykerlaan,Point(4.6298 52.4034),1935,
Joannes de Deoplein,http://www.wikidata.org/entity/Q19265634,Joannes de Deoplein,Point(4.6331 52.3907),2014,
Joegoslaviëpad,http://www.wikidata.org/entity/Q19265737,Joegoslaviëpad,Point(4.649462 52.362175),1960,
